Wall time,Step,Value
1618121066.1825202,5241,287.2005310058594
1618121082.7708173,5242,59.38577651977539
1618121099.325459,5243,-31.908273696899414
1618121108.87143,5244,240.27871704101562
1618121125.6665673,5245,89.81620788574219
1618121133.8642352,5246,235.69375610351562
1618121142.0066953,5247,-268.17523193359375
1618121154.0896995,5248,-165.90762329101562
1618121163.282536,5249,268.895751953125
1618121170.993351,5250,270.8809509277344
1618121179.6458204,5251,234.510498046875
1618121186.2802544,5252,11.951419830322266
1618121195.1148367,5253,245.91983032226562
1618121201.058814,5254,-101.41960144042969
1618121213.735835,5255,-269.15362548828125
1618121230.6991305,5257,227.65274047851562
1618121238.4535282,5258,-205.6119842529297
1618121252.5574832,5259,223.881103515625
1618121269.236347,5260,59.85755920410156
1618121281.2713206,5261,289.75555419921875
1618121299.0102103,5263,262.5591735839844
1618121315.5256793,5264,97.9385757446289
1618121327.0795197,5265,301.3039245605469
1618121337.382221,5266,241.7313995361328
1618121354.2144632,5267,96.0354995727539
1618121361.866047,5268,256.64166259765625
1618121377.6650336,5269,266.2023010253906
1618121386.1218154,5270,283.07403564453125
1618121394.2906969,5271,269.9622802734375
1618121402.1331725,5272,272.21405029296875
1618121409.5288174,5273,273.2887268066406
1618121418.1196609,5274,270.6313171386719
1618121435.079589,5275,113.98238372802734
1618121446.5041094,5276,271.32733154296875
1618121462.76458,5277,244.6388702392578
1618121470.857469,5278,273.2185974121094
1618121484.7463274,5279,229.86050415039062
1618121494.5314562,5280,300.8010559082031
1618121511.1007454,5281,67.60039520263672
1618121527.6954296,5282,97.11161041259766
1618121544.3064668,5283,118.05137634277344
1618121553.6222777,5284,295.19287109375
1618121567.1293032,5285,232.38546752929688
1618121576.6111257,5286,277.7003479003906
1618121585.3865905,5287,296.2843322753906
1618121599.9322636,5288,190.21136474609375
1618121610.3058066,5289,236.0442352294922
1618121625.5468445,5290,241.50607299804688
1618121635.6324518,5291,247.06350708007812
1618121650.5613556,5292,189.07000732421875
1618121659.0726986,5293,245.4414520263672
1618121675.8580863,5294,37.01889419555664
1618121685.0127308,5295,276.4747314453125
1618121695.3864877,5296,278.5570068359375
1618121711.5896623,5297,210.24948120117188
1618121722.984228,5298,200.2393035888672
1618121739.7048438,5299,-47.012062072753906
1618121753.156916,5300,219.97012329101562
1618121764.6252427,5301,274.8265380859375
1618121775.4962926,5302,260.6302490234375
1618121792.472373,5303,52.940120697021484
1618121802.500243,5304,220.10293579101562
1618121810.2901323,5305,272.92926025390625
1618121818.437748,5306,264.4768371582031
1618121827.8038895,5307,278.6112976074219
1618121840.8254054,5308,233.601806640625
1618121851.0863345,5309,252.53778076171875
1618121865.4311802,5310,268.59698486328125
1618121881.952195,5311,-41.303367614746094
1618121890.0830543,5312,-18.977052688598633
1618121899.1931949,5313,283.00482177734375
1618121906.4362159,5314,-10.670221328735352
1618121914.8416128,5315,263.6569519042969
1618121925.3030887,5316,255.31790161132812
1618121934.7811267,5317,258.996826171875
1618121951.441618,5318,-33.980899810791016
1618121972.4488149,5320,-320.912109375
1618121980.8161192,5321,283.74945068359375
1618121997.5814226,5322,33.004215240478516
1618122005.2778053,5323,273.5061950683594
1618122016.2575295,5324,225.49114990234375
1618122024.9776459,5325,288.2665100097656
1618122041.8073583,5326,102.7573013305664
1618122051.835364,5327,265.81463623046875
1618122062.1297023,5328,233.861328125
1618122071.2006857,5329,264.81390380859375
1618122080.2860448,5330,291.3296203613281
1618122089.359003,5331,228.990234375
1618122102.6995146,5332,238.3096923828125
1618122114.7179077,5333,191.16702270507812
1618122125.379793,5334,242.51339721679688
1618122133.2804759,5335,257.60394287109375
1618122143.7908866,5336,264.4402770996094
1618122152.8730347,5337,226.34982299804688
1618122161.2899477,5338,280.5489807128906
1618122177.883535,5339,223.7772979736328
1618122186.2948098,5340,296.40765380859375
1618122193.725908,5341,269.12139892578125
1618122207.9851255,5342,246.6558380126953
1618122222.7317908,5343,-196.05795288085938
1618122237.1173673,5345,273.3603515625
1618122244.9735968,5346,223.96934509277344
1618122254.5442722,5347,265.99468994140625
1618122266.627188,5348,-116.64824676513672
1618122274.9513917,5349,274.0941467285156
1618122281.9458115,5350,259.2059020996094
1618122287.813882,5351,230.37405395507812
1618122297.8417192,5352,256.12774658203125
1618122306.4377546,5353,287.11138916015625
1618122316.728162,5354,221.05923461914062
1618122327.3382723,5355,212.3406982421875
1618122334.7233028,5356,279.76116943359375
1618122344.3219967,5357,267.4246520996094
1618122347.1482673,5358,-89.11222839355469
1618122361.4001927,5359,236.47166442871094
1618122377.9429839,5360,142.31484985351562
1618122393.4122074,5361,181.50897216796875
1618122398.0021293,5362,-2.5916075706481934
1618122405.6439557,5363,274.0715637207031
1618122418.9822328,5364,-130.0004119873047
1618122434.7927456,5365,246.05068969726562
1618122447.3860369,5366,-97.54783630371094
1618122463.8321016,5368,-11.238075256347656
1618122477.210173,5369,229.96446228027344
1618122485.9032953,5370,267.5219421386719
1618122493.7685432,5371,280.13330078125
